"id","mes","precipitacion_acumulada"
"NH0046",2010-03-01,97.7
"NH0046",2010-04-01,65.9
"NH0046",2010-05-01,66.4
"NH0046",2010-06-01,0.6
"NH0046",2010-07-01,17.7
"NH0046",2010-08-01,8.2
"NH0046",2010-09-01,43.3
"NH0046",2010-10-01,37.5
"NH0046",2010-11-01,45.5
"NH0046",2010-12-01,73.3
"NH0046",2011-01-01,101
"NH0046",2011-02-01,145.7
"NH0046",2011-03-01,64.2
"NH0046",2011-04-01,130.7
"NH0046",2011-05-01,71.9
"NH0046",2011-06-01,13.9
"NH0046",2011-07-01,34.8
"NH0046",2011-08-01,0
"NH0046",2011-09-01,7.2
"NH0046",2011-10-01,151.6
"NH0046",2011-11-01,99.1
"NH0046",2011-12-01,40.1
"NH0046",2012-01-01,74.2
"NH0046",2012-02-01,216.2
"NH0046",2012-03-01,42.8
"NH0046",2012-04-01,9.2
"NH0046",2012-05-01,86.7
"NH0046",2012-06-01,8.5
"NH0046",2012-07-01,4
"NH0046",2012-08-01,171
"NH0046",2012-09-01,93.8
"NH0046",2012-10-01,307
"NH0046",2012-11-01,98.3
"NH0046",2012-12-01,244
"NH0046",2013-01-01,31.3
"NH0046",2013-02-01,83.7
"NH0046",2013-03-01,36.2
"NH0046",2013-04-01,36
"NH0046",2013-05-01,49.1
"NH0046",2013-06-01,10.2
"NH0046",2013-07-01,19.1
"NH0046",2013-08-01,0
"NH0046",2013-09-01,18.1
"NH0046",2013-10-01,91
"NH0046",2013-11-01,105.7
"NH0046",2013-12-01,72.3
"NH0046",2014-01-01,122.5
"NH0046",2014-02-01,0
"NH0046",2015-02-01,49.7
"NH0046",2015-03-01,126.3
"NH0046",2015-04-01,41.8
"NH0046",2015-05-01,15.3
"NH0046",2015-06-01,19.5
"NH0046",2015-07-01,47.5
"NH0046",2015-08-01,138.4
"NH0046",2015-09-01,10.9
"NH0046",2015-10-01,67.7
"NH0046",2015-11-01,108.8
"NH0046",2015-12-01,51.1
"NH0046",2016-01-01,106.6
"NH0046",2016-02-01,219.3
"NH0046",2016-03-01,64.6
"NH0046",2016-04-01,232.4
"NH0046",2016-05-01,6.6
"NH0046",2016-06-01,46.6
"NH0046",2016-07-01,33.8
"NH0046",2016-08-01,16.5
"NH0046",2016-09-01,0
"NH0046",2018-07-01,5.6
"NH0046",2018-08-01,14.7
"NH0046",2018-09-01,9.5
"NH0046",2018-10-01,110.6
"NH0046",2018-11-01,177.6
"NH0046",2018-12-01,116.4
"NH0046",2019-01-01,161.7
"NH0046",2019-02-01,69.5
"NH0046",2019-03-01,136
"NH0046",2019-04-01,57.8
"NH0046",2019-05-01,86.8
"NH0046",2019-06-01,70.5
"NH0046",2019-07-01,8.8
"NH0046",2019-08-01,3
"NH0046",2019-09-01,14.5
"NH0046",2019-10-01,75
"NH0046",2019-11-01,75.6
"NH0046",2019-12-01,85.1
"NH0046",2020-01-01,52.7
"NH0046",2020-02-01,57
"NH0046",2020-03-01,44.5
"NH0046",2020-12-01,28.5
"NH0046",2021-01-01,176.2
"NH0046",2021-02-01,0.4
"NH0046",2021-03-01,121.2
"NH0046",2021-04-01,89.1
"NH0046",2021-05-01,45
"NH0046",2021-06-01,0.6
"NH0046",2021-07-01,79.3
"NH0046",2021-08-01,4
"NH0046",2021-09-01,1.4
"NH0046",2021-10-01,36.7
"NH0046",2021-11-01,124.6
"NH0046",2021-12-01,26.4
"NH0046",2022-01-01,82.2
"NH0046",2022-02-01,45.55
"NH0046",2022-03-01,102.5
"NH0046",2022-04-01,82.3
"NH0046",2022-05-01,1
"NH0046",2022-06-01,1.1
"NH0046",2022-07-01,0
"NH0046",2022-08-01,0
"NH0046",2022-09-01,11.1
"NH0046",2022-10-01,26.4
"NH0046",2022-11-01,46.4
"NH0046",2022-12-01,15.6
"NH0046",2023-01-01,80.5
"NH0046",2023-02-01,55.2
"NH0046",2023-03-01,68
"NH0098",1956-04-01,0
"NH0098",1956-05-01,0
"NH0098",1956-06-01,0
"NH0098",1956-07-01,0
"NH0098",1956-08-01,0
"NH0098",1956-09-01,0
"NH0098",1956-10-01,9.9
"NH0098",1956-11-01,0
"NH0098",1956-12-01,0
"NH0098",1957-01-01,0
"NH0098",1957-02-01,0
"NH0098",1957-03-01,0
"NH0098",1957-04-01,0
"NH0098",1957-05-01,0
"NH0098",1957-06-01,0
"NH0098",1957-07-01,0
"NH0098",1957-08-01,0
"NH0098",1957-09-01,0
"NH0098",1957-10-01,0
"NH0098",1957-11-01,0
"NH0098",1957-12-01,0
"NH0098",1958-01-01,0
"NH0098",1958-02-01,0
"NH0098",1958-03-01,0
"NH0098",1958-04-01,0
"NH0098",1958-05-01,0
"NH0098",1958-06-01,0
"NH0098",1958-07-01,0
"NH0098",1958-08-01,0
"NH0098",1958-09-01,0
"NH0098",1958-10-01,0
"NH0098",1958-11-01,0
"NH0098",1958-12-01,0
"NH0098",1959-01-01,64.1
"NH0098",1959-02-01,232.2
"NH0098",1959-03-01,163.6
"NH0098",1959-04-01,230.5
"NH0098",1959-05-01,100.1
"NH0098",1959-06-01,64.9
"NH0098",1959-07-01,76.1
"NH0098",1959-08-01,24.6
"NH0098",1959-09-01,3.7
"NH0098",1959-10-01,103.5
"NH0098",1959-11-01,82.9
"NH0098",1959-12-01,98.8
"NH0098",1960-01-01,68.4
"NH0098",1960-02-01,0
"NH0098",1960-03-01,43.2
"NH0098",1960-04-01,13.3
"NH0098",1960-05-01,20.9
"NH0098",1960-06-01,18
"NH0098",1960-07-01,89.8
"NH0098",1960-08-01,40.1
"NH0098",1960-09-01,18
"NH0098",1960-10-01,160.9
"NH0098",1960-11-01,127.6
"NH0098",1960-12-01,54.1
"NH0098",1961-01-01,157.9
"NH0098",1961-02-01,72.1
"NH0098",1961-03-01,171
"NH0098",1961-04-01,21.6
"NH0098",1961-05-01,54
"NH0098",1961-06-01,2.7
"NH0098",1961-07-01,16.7
"NH0098",1961-08-01,0.3
"NH0098",1961-09-01,5.2
"NH0098",1961-10-01,123.3
"NH0098",1961-11-01,142.6
"NH0098",1961-12-01,115.4
"NH0098",1962-01-01,77.5
"NH0098",1962-02-01,56.3
"NH0098",1962-03-01,125.4
"NH0098",1962-04-01,69.1
"NH0098",1962-05-01,6.8
"NH0098",1962-06-01,0
"NH0098",1962-07-01,40.9
"NH0098",1962-08-01,3.4
"NH0098",1962-09-01,52.8
"NH0098",1962-10-01,47.5
"NH0098",1962-11-01,20.3
"NH0098",1962-12-01,11.9
"NH0098",1963-01-01,197.6
"NH0098",1963-02-01,158.9
"NH0098",1963-03-01,118
"NH0098",1963-04-01,70
"NH0098",1963-05-01,41.9
"NH0098",1963-06-01,1.2
"NH0098",1963-07-01,27.2
"NH0098",1963-08-01,12
"NH0098",1963-09-01,16
"NH0098",1963-10-01,35.9
"NH0098",1963-11-01,139.1
"NH0098",1963-12-01,119.6
"NH0098",1964-01-01,66.2
"NH0098",1964-02-01,31.9
"NH0098",1964-03-01,289.1
"NH0098",1964-04-01,62.6
"NH0098",1964-05-01,9.3
"NH0098",1964-06-01,19.9
"NH0098",1964-07-01,0
"NH0098",1964-08-01,15.6
"NH0098",1964-09-01,62.9
"NH0098",1964-10-01,21.8
"NH0098",1964-11-01,44.9
"NH0098",1964-12-01,87.6
"NH0098",1965-01-01,95.8
"NH0098",1965-02-01,70.4
"NH0098",1965-03-01,14.2
"NH0098",1965-04-01,48.2
"NH0098",1965-05-01,12.5
"NH0098",1965-06-01,45.1
"NH0098",1965-07-01,22.6
"NH0098",1965-08-01,5.3
"NH0098",1965-09-01,39.2
"NH0098",1965-10-01,87.1
"NH0098",1965-11-01,146.4
"NH0098",1965-12-01,231.3
"NH0098",1966-01-01,172.3
"NH0098",1966-02-01,85.9
"NH0098",1966-03-01,180.6
"NH0098",1966-04-01,114.6
"NH0098",1966-05-01,55.6
"NH0098",1966-06-01,23.8
"NH0098",1966-07-01,13.7
"NH0098",1966-08-01,0
"NH0098",1966-09-01,7.9
"NH0098",1966-10-01,79.2
"NH0098",1966-11-01,112.4
"NH0098",1966-12-01,131.5
"NH0098",1967-01-01,66.9
"NH0098",1967-02-01,32.4
"NH0098",1967-03-01,104.8
"NH0098",1967-04-01,45
"NH0098",1967-05-01,35.3
"NH0098",1967-06-01,7.6
"NH0098",1967-07-01,33.9
"NH0098",1967-08-01,106.8
"NH0098",1967-09-01,68.4
"NH0098",1967-10-01,200.1
"NH0098",1967-11-01,47.8
"NH0098",1967-12-01,19
"NH0098",1968-01-01,48.7
"NH0098",1968-02-01,84.9
"NH0098",1968-03-01,171.7
"NH0098",1968-04-01,15.3
"NH0098",1968-05-01,6.1
"NH0098",1968-06-01,32.6
"NH0098",1968-07-01,20.4
"NH0098",1968-08-01,63.6
"NH0098",1968-09-01,36.4
"NH0098",1968-10-01,161.8
"NH0098",1968-11-01,135.5
"NH0098",1968-12-01,137.1
"NH0098",1969-01-01,35.1
"NH0098",1969-02-01,147.9
"NH0098",1969-03-01,49.7
"NH0098",1969-04-01,48.2
"NH0098",1969-05-01,31.6
"NH0098",1969-06-01,13.3
"NH0098",1969-07-01,0.2
"NH0098",1969-08-01,0.6
"NH0098",1969-09-01,12.1
"NH0098",1969-10-01,44.5
"NH0098",1969-11-01,139
"NH0098",1969-12-01,157.2
"NH0098",1970-01-01,109.9
"NH0098",1970-02-01,98.5
"NH0098",1970-03-01,142.2
"NH0098",1970-04-01,30.3
"NH0098",1970-05-01,17.9
"NH0098",1970-06-01,15.4
"NH0098",1970-07-01,6.9
"NH0098",1970-08-01,42.3
"NH0098",1970-09-01,55.6
"NH0098",1970-10-01,81.3
"NH0098",1970-11-01,53
"NH0098",1970-12-01,54
"NH0098",1971-01-01,256.9
"NH0098",1971-02-01,106
"NH0098",1971-03-01,156.4
"NH0098",1971-04-01,64
"NH0098",1971-05-01,104
"NH0098",1971-06-01,5.3
"NH0098",1971-07-01,13.2
"NH0098",1971-08-01,13.3
"NH0098",1971-09-01,69.2
"NH0098",1971-10-01,15
"NH0098",1971-11-01,67.4
"NH0098",1971-12-01,148.8
"NH0098",1972-01-01,64.8
"NH0098",1972-02-01,59.2
"NH0098",1972-03-01,105.9
"NH0098",1972-04-01,35.4
"NH0098",1972-05-01,9.1
"NH0098",1972-06-01,25
"NH0098",1972-07-01,30.6
"NH0098",1972-08-01,24.8
"NH0098",1972-09-01,246.9
"NH0098",1972-10-01,94.2
"NH0098",1972-11-01,46.6
"NH0098",1972-12-01,44.5
"NH0098",1973-01-01,55.7
"NH0098",1973-02-01,471.2
"NH0098",1973-03-01,251.3
"NH0098",1973-04-01,307
"NH0098",1973-05-01,3.7
"NH0098",1973-06-01,123.3
"NH0098",1973-07-01,18.6
